NDB_ナンバー,食品名,水_(g),Energ_Kcal,タンパク質_(g),Lipid_Tot_(g),Ash_(g),炭水化物_(g),ファイバー_TD_(g),Sugar_Tot_(g)
1001,バター、有塩,15.87,717,0.85,81.11,2.11,0.06,0,0.06
1002,バター、ホイップ、塩,16.72,718,0.49,78.3,1.62,2.87,0,0.06
1003,バターオイル、無水,0.24,876,0.28,99.48,0,0,0,0
1004,チーズ、ブルー,42.41,353,21.4,28.74,5.11,2.34,0,0.5
1005,チーズ、ブリック,41.11,371,23.24,29.68,3.18,2.79,0,0.51
1006,チーズ、ブリー,48.42,334,20.75,27.68,2.7,0.45,0,0.45
1007,チーズ、カマンベール,51.8,300,19.8,24.26,3.68,0.46,0,0.46
1008,チーズ、キャラウェイ,39.28,376,25.18,29.2,3.28,3.06,0,
1009,チーズ、チェダー,37.02,404,22.87,33.31,3.71,3.09,0,0.48
1010,チーズ、チェシャー,37.65,387,23.37,30.6,3.6,4.78,0,
1011,チーズ、コルビー,38.2,394,23.76,32.11,3.36,2.57,0,0.52
1012,チーズ、コテージ、CRMD、LRG または SML カード,79.79,98,11.12,4.3,1.41,3.38,0,2.67
1013,チーズ、コテージ、CRMD、フルーツ付き,79.64,97,10.69,3.85,1.2,4.61,0.2,2.38
1014,チーズ、コテージ、ノンファット、UNCRMD、ドライ、LRG または SML カード,81.01,72,10.34,0.29,1.71,6.66,0,1.85
1015,チーズ、コテージ、低脂肪、乳脂肪2%,81.24,81,10.45,2.27,1.27,4.76,0,4
1016,チーズ、コテージ、低脂肪、乳脂肪1%,82.48,72,12.39,1.02,1.39,2.72,0,2.72
1017,チーズ、クリーム,52.62,350,6.15,34.44,1.27,5.52,0,3.76
1018,チーズ、エダム,41.56,357,24.99,27.8,4.22,1.43,0,1.43
1019,チーズ、フェタチーズ,55.22,264,14.21,21.28,5.2,4.09,0,4.09
1020,チーズ、フォンティーナ,37.92,389,25.6,31.14,3.79,1.55,0,1.55
1021,チーズ、ジェトスト,13.44,466,9.65,29.51,4.75,42.65,0,
1022,チーズ、ゴーダ,41.46,356,24.94,27.44,3.94,2.22,0,2.22
1023,チーズ、グリュイエール,33.19,413,29.81,32.34,4.3,0.36,0,0.36
1024,チーズ、リンバーガー,48.42,327,20.05,27.25,3.79,0.49,0,0.49
1025,チーズ、モントレー,41.01,373,24.48,30.28,3.55,0.68,0,0.5
1026,チーズ、モッツァレラ、白乳,50.01,300,22.17,22.35,3.28,2.19,0,1.03
1027,チーズ、モッツァレラチーズ、白乳、ローモイスト,48.38,318,21.6,24.64,2.91,2.47,0,1.01
1028,チーズ、モッツァレラチーズ、一部脱脂乳,53.78,254,24.26,15.92,3.27,2.77,0,1.13
1029,チーズ、モッツァレラ、ローモイスト、部分脱脂,47.07,295,23.75,19.78,3.83,5.58,0,1.9
1030,チーズ、ミュンスター,41.77,368,23.41,30.04,3.66,1.12,0,1.12
1031,チーズ、ヌフシャテル,63.11,253,9.15,22.78,1.37,3.59,0,3.19
1032,チーズ、パルメザンチーズ、おろし,22.65,420,28.42,27.84,7.18,13.91,0,0.07
1033,チーズ、パルメザン、ハード,29.16,392,35.75,25.83,6.04,3.22,0,0.8
1034,チーズ、ポルト・ド・サリュ,45.45,352,23.78,28.2,2,0.57,0,0.57
1035,チーズ、プロボローネ,40.95,351,25.58,26.62,4.71,2.14,0,0.56
1036,チーズ、リコッタチーズ、全乳,71.7,174,11.26,12.98,1.02,3.04,0,0.27
1037,チーズ、リコッタチーズ、一部脱脂乳,74.41,138,11.39,7.91,1.15,5.14,0,0.31
1038,チーズ、ロマーノ,30.91,387,31.8,26.94,6.72,3.63,0,0.73
1039,チーズ、ロックフォール,39.38,369,21.54,30.64,6.44,2,0,
1040,チーズ、スイス,37.63,393,26.96,30.99,2.97,1.44,0,0
1041,チーズ、ティルシット,42.86,340,24.41,25.98,4.87,1.88,0,
1042,チーズ、過去のプロセス、アメリカン、フォート W/ ビタミン D,39.61,366,18.13,30.71,6.78,4.78,0,2.26
1043,チーズ、前工程、ピメント,39.08,375,22.13,31.2,5.84,1.73,0.1,0.62
1044,チーズ、過去のプロセス、スイス,42.31,334,24.73,25.01,5.85,2.1,0,1.23
1045,チーズFD、コールドPK、アメリカン,43.12,331,19.66,24.46,4.44,8.32,0,
1046,チーズFD、過去のプロセス、アメリカン、ビタミンDフォート,44,330,16.86,25.63,4.96,8.56,0,5.59
1047,"CHEESE FD,PAST PROCESS,スイス",43.67,323,21.92,24.14,5.77,4.5,0,
1048,チーズSPRD、過去のプロセス、アメリカン,47.65,290,16.41,21.23,5.98,8.73,0,7.32
1049,クリーム、フルイド、ハーフアンドハーフ,81.24,123,3.13,10.39,0.51,4.73,0,4.13
1050,"CREAM,FLUID,LT (COFFEE CRMまたはTABLE CRM)",74.51,191,2.96,19.1,0.61,2.82,0,3.67
1052,クリーム、フルイド、LT ホイップ,63.5,292,2.17,30.91,0.46,2.96,0,2.96
1053,クリーム、フルイド、ハイビーホイップ,57.81,340,2.84,36.08,0.53,2.74,0,2.92
1054,クリーム、ホイップ、CRMトッピング、加圧,61.33,257,3.2,22.22,0.76,12.49,0,8
1055,クリーム、サワー、レッドファット、培養,80.14,135,2.94,12,0.66,4.26,0,0.16
1056,クリーム、サワー、培養,73.07,198,2.44,19.35,0.51,4.63,0,3.41
1057,エッグノッグ,82.54,88,4.55,4.19,0.67,8.05,0,8.05
1058,SOUR DRSNG、ノンバタファット、養殖、フィルド クリームタイプ,74.79,178,3.25,16.57,0.71,4.68,0,4.68
1059,ミルク、充填、液体、HYDR VEG オイルのブレンド,87.67,63,3.33,3.46,0.8,4.74,0,
1060,ミルク、フィリング、フルイド、ラウリン酸オイル入り,87.73,63,3.33,3.4,0.8,4.74,0,4.74
1061,チーズ、アメリカン、無脂肪または無脂肪,65.47,126,21.05,0,2.95,10.53,0,5.26
1067,"CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT",77.27,136,1,9.97,0.38,11.38,0,11.38
1068,"CREAM SUB,LIQ,W/ラウリン酸オイル&NAカゼイネート",77.27,136,1,9.97,0.38,11.38,0,
1069,クリーム代替品、粉末,2.98,529,2.48,32.92,2.34,59.29,0,7.77
1070,デザートトッピング、粉末,1.47,577,4.9,39.92,1.17,52.54,0,52.54
1071,デザートのトッピング、PDR、1.5 オンスの準備、1/2 カップのミルク,65.74,194,3.61,12.72,0.8,17.13,0,17.13
1072,デザートトッピング、加圧,60.37,264,0.98,22.3,0.28,16.07,0,16.07
1073,デザートトッピング、セミソリッド、FRZ,50.21,318,1.25,25.31,0.18,23.05,0,23.05
1074,SOUR CRM、IMITN、CULTURED,71.15,208,2.4,19.52,0.3,6.63,0,6.63
1076,代用乳、液体、ラウリン酸油入り,88.18,61,1.75,3.41,0.5,6.16,0,
1077,ミルク、WHL、3.25% ミルクファット、ビタミン D 添加,88.13,61,3.15,3.25,0.67,4.8,0,5.05
1078,牛乳、生産者、液体、3.7% 乳脂肪,87.69,64,3.28,3.66,0.72,4.65,0,
1079,ミルク、赤脂肪、液体、2% ミルク脂肪、VIT A & ビタミン D 添加,89.21,50,3.3,1.98,0.71,4.8,0,5.06
1080,乳、赤脂肪、液体、乳脂肪2%、NFMS、VIT AおよびVIT Dを添加,88.86,51,3.48,1.92,0.77,4.97,0,
1081,牛乳、赤脂肪、液体、2% 乳脂肪、栄養価、VIT A & D 添加,87.71,56,3.95,1.98,0.87,5.49,0,5.26
1082,ミルク、低脂肪、液体、1% ミルクファット、VIT A & ビタミン D 添加,89.92,42,3.37,0.97,0.75,4.99,0,5.2
1083,ミルク、低脂肪、液体、1% ミルクファット、無脂肪ミルク SOL、VIT A/ D を追加,89.81,43,3.48,0.97,0.77,4.97,0,
1084,ミルク、低脂肪、液体、1% ミルクファット、プロテイン、VIT A & D 添加,88.74,48,3.93,1.17,0.86,5.52,0,
1085,ミルク、ノンファット、フルイド、VIT A & VIT D 添加 (無脂肪またはスキム),90.84,34,3.37,0.08,0.75,4.96,0,5.09
1086,ミルク、ノンファット、フルイド、ノンファット ミルク ソル、ビタミン A およびビタミン D を添加,90.38,37,3.57,0.25,0.78,5.02,0,5.02
