食品名,エネルギー kcal,たんぱく質 g,脂質 g,炭水化物(単糖当量) g,炭水化物(質量計) g,食物繊維総量 g,食塩相当量 g
＜和生菓子・和半生菓子類＞　甘納豆　あずき,283,3.4,0.3,-69.6,-66,4.8,0.1
＜和生菓子・和半生菓子類＞　甘納豆　いんげんまめ,288,3.8,0.5,-69.8,-66.3,5.5,0.1
＜和生菓子・和半生菓子類＞　甘納豆　えんどう,293,3.8,0.4,-72.4,-68.7,3.2,0.1
＜和生菓子・和半生菓子類＞　今川焼　こしあん入り,217,-4.5,-1.1,-50.6,-47.2,-1.4,-0.1
＜和生菓子・和半生菓子類＞　今川焼　つぶしあん入り,220,-4.5,-1.4,-50.5,-46.9,-1.7,-0.2
＜和生菓子・和半生菓子類＞　今川焼　カスタードクリーム入り,224,-4.7,-2.6,-49.2,-45.7,-0.9,-0.1
＜和生菓子・和半生菓子類＞　ういろう　白,181,-1,-0.2,-46.8,-43.8,-0.1,0
＜和生菓子・和半生菓子類＞　ういろう　黒,174,-1.5,-0.2,-44.8,-41.9,-0.1,0
＜和生菓子・和半生菓子類＞　うぐいすもち　こしあん入り,236,-3.5,-0.4,-58.1,-54.4,-1.8,-0.1
＜和生菓子・和半生菓子類＞　うぐいすもち　つぶしあん入り,237,-2.7,-0.4,-59.4,-55.5,-1.2,-0.1
＜和生菓子・和半生菓子類＞　かしわもち　こしあん入り,203,-4,-0.4,-48.9,-45.2,-1.7,-0.1
＜和生菓子・和半生菓子類＞　かしわもち　つぶしあん入り,204,-3.9,-0.5,-48.9,-45,-1.7,-0.2
＜和生菓子・和半生菓子類＞　カステラ,313,-7.1,-5,-65.7,-61.8,-0.5,-0.2
＜和生菓子・和半生菓子類＞　かのこ,260,-4.8,-0.4,-62.4,-59,-3.8,-0.1
＜和生菓子・和半生菓子類＞　かるかん,226,-2.1,-0.3,-57.7,-54.1,-0.4,0
＜和生菓子・和半生菓子類＞　きび団子,298,-1.6,-0.2,-77.5,-72.9,-0.1,0
＜和生菓子・和半生菓子類＞　ぎゅうひ,253,-1.3,-0.2,-65.6,-61.7,-0.1,0
＜和生菓子・和半生菓子類＞　きりざんしょ,245,-2.1,-0.3,-62.6,-58.5,-0.2,-0.2
＜和生菓子・和半生菓子類＞　きんぎょく糖,282,(Tr),0,-74.8,-71.2,-0.8,0
＜和生菓子・和半生菓子類＞　きんつば,260,-6,-0.7,-59.8,-56.1,-5.5,-0.3
＜和生菓子・和半生菓子類＞　草もち　こしあん入り,224,-4.2,-0.4,-54.3,-50.4,-1.9,0
＜和生菓子・和半生菓子類＞　草もち　つぶしあん入り,227,-4.8,-0.7,-53.1,-49.1,-2.7,-0.1
＜和生菓子・和半生菓子類＞　くし団子　あん　こしあん入り,198,-3.8,-0.4,-47.8,-43.9,-1.2,-0.1
＜和生菓子・和半生菓子類＞　くし団子　あん　つぶしあん入り,199,-3.8,-0.5,-47.8,-43.8,-1.3,-0.1
＜和生菓子・和半生菓子類＞　くし団子　みたらし,194,-3.2,-0.4,-47.4,-43.5,-0.3,-0.6
＜和生菓子・和半生菓子類＞　くずもち　関西風　くずでん粉製品,93,-0.1,-0.1,-24.7,-22.5,0,0
＜和生菓子・和半生菓子類＞　くずもち　関東風　小麦でん粉製品,94,-0.1,-0.1,-24.6,-22.4,0,0
＜和生菓子・和半生菓子類＞　げっぺい,348,-4.7,-8.5,-67.1,-62.6,-2.1,0
＜和生菓子・和半生菓子類＞　五平もち,178,-3,-0.5,-38.3,-35.2,-1.3,-0.6
＜和生菓子・和半生菓子類＞　桜もち　関西風　こしあん入り,196,-3.5,-0.3,-47.9,-44.7,-1.7,-0.1
＜和生菓子・和半生菓子類＞　桜もち　関西風　つぶしあん入り,197,-3,-0.3,-48.6,-45.2,-1.3,-0.1
＜和生菓子・和半生菓子類＞　桜もち　関東風　こしあん入り,235,-4.5,-0.4,-56.3,-52.6,-2.6,-0.1
＜和生菓子・和半生菓子類＞　桜もち　関東風　つぶしあん入り,237,-4.2,-0.6,-56.6,-52.7,-2.5,-0.1
＜和生菓子・和半生菓子類＞　笹だんご　こしあん入り,227,-4,-0.5,-54.8,-50.8,-1.9,0
＜和生菓子・和半生菓子類＞　笹だんご　つぶしあん入り,228,-4.7,-0.6,-54,-49.8,-2.3,-0.1
＜和生菓子・和半生菓子類＞　ずんだあん,190,-6.3,-3.4,-35.8,-34.1,-2.5,-0.2
＜和生菓子・和半生菓子類＞　ずんだもち,212,-4.9,-1.7,-44.4,-40.9,-1.3,-0.1
＜和生菓子・和半生菓子類＞　大福もち　こしあん入り,223,-4.6,-0.5,-53.4,-49.3,-1.8,-0.1
＜和生菓子・和半生菓子類＞　大福もち　つぶしあん入り,223,-4.7,-0.6,-52.7,-48.6,-2.7,-0.1
